 _hum, _tempm, _rain
47,26,0
57,24,0
61,23,0
61,23,0
73,21,0
73,21,0
88,18,0
88,19,0
73,23,0
39,28,0
39,28,0
30,28,0
32,28,0
34,27,0
47,26,0
54,25,0
61,25,0
53,24,0
41,23,0
63,17,0
68,16,0
50,22,0
14,27,0
15,27,0
16,27,0
18,26,0
25,24,0
31,23,0
33,22,0
35,20,0
48,17,0
52,16,0
67,13,0
72,12,0
72,12,0
36,23,0
34,24,0
23,26,0
29,23,0
33,22,0
46,19,0
59,15,0
59,15,0
63,14,0
38,22,0
26,26,0
26,27,0
22,29,0
49,21,0
56,20,0
36,25,0
25,30,0
24,31,0
27,29,0
38,24,0
44,24,0
47,23,0
53,21,0
64,19,0
73,18,0
56,21,0
44,24,0
27,30,0
31,30,0
44,26,0
47,25,0
50,25,0
50,23,0
73,21,1
68,20,0
68,19,0
64,19,0
57,22,0
53,24,0
54,25,0
47,26,0
47,24,0
83,20,0
78,20,0
94,19,0
94,18,0
94,18,0
100,17,0
83,20,0
78,21,0
69,24,0
57,25,0
39,28,0
47,25,0
83,20,0
83,21,0
88,19,0
73,22,0
48,27,0
40,29,0
35,30,0
37,29,0
42,28,0
69,23,0
73,23,0
83,21,0
88,20,0
83,21,0
51,28,0
48,29,0
48,29,0
43,30,0
40,30,0
58,28,0
61,27,0
65,26,0
73,24,0
73,24,0
78,23,0
78,23,0
83,22,0
88,21,0
83,22,0
51,29,0
51,30,0
43,32,0
43,32,0
43,32,0
78,23,0
88,21,0
83,21,0
83,21,0
48,30,0
49,31,0
55,30,0
55,29,0
58,29,0
58,28,0
74,26,0
69,25,0
73,24,0
78,23,0
78,23,0
74,25,1
78,21,1
88,20,0
94,19,0
94,19,0
45,30,0
43,31,0
38,31,0
38,31,0
54,28,0
61,27,0
61,27,0
69,25,0
94,20,0
94,20,0
83,23,0
65,26,0
48,27,0
57,25,0
73,22,0
78,21,0
73,21,0
78,21,0
83,20,0
83,19,0
94,18,0
78,21,0
48,28,0
33,31,0
33,32,0
36,32,0
40,30,0
54,27,0
54,27,0
57,26,0
65,24,0
61,24,0
73,22,0
83,21,0
78,22,0
73,24,0
69,25,0
65,27,0
51,28,0
49,31,0
43,32,0
43,32,0
38,33,0
34,33,0
38,32,0
65,25,0
65,25,0
65,26,0
61,26,0
48,29,0
43,31,0
45,30,0
55,29,0
51,28,0
61,25,0
69,24,0
73,23,0
78,22,0
69,22,0
73,21,0
78,20,0
73,22,0
73,24,0
58,29,0
51,30,0
37,30,0
31,31,0
29,31,0
43,31,0
33,30,0
37,29,0
42,28,0
45,27,0
47,26,0
57,25,0
57,23,0
61,23,0
60,22,0
60,21,0
60,21,0
57,22,0
42,28,0
40,30,0
40,31,0
43,30,0
61,24,0
69,22,0
61,24,0
54,26,0
27,29,0
53,22,0
68,19,0
57,22,0
29,30,0
27,31,0
34,27,0
35,29,0
47,25,0
42,27,0
27,30,0
24,31,0
22,31,0
27,30,0
27,30,0
41,25,0
60,21,0
68,19,0
73,19,0
53,23,0
18,33,0
16,33,0
19,31,0
39,26,0
47,23,0
42,27,0
33,31,0
23,33,0
15,35,0
15,36,0
15,35,0
20,33,0
22,32,0
29,30,0
42,26,0
53,23,0
53,21,0
42,27,0
33,31,0
28,33,0
24,34,0
20,35,0
17,36,0
18,36,0
29,29,0
39,27,0
53,22,0
46,22,0
44,23,0
36,26,0
31,32,0
28,33,0
24,33,0
34,25,0
27,31,0
12,39,0
13,37,0
25,31,0
14,39,0
36,26,0
26,35,0
